,datetime,open,high,low,close,volume,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,negative,positive,total_news,sentiment,type,ground_truth,prediction
0,2022-06-08,1060.0,1070.0,1050.0,1050.0,7614200.0,1046.0,1045.3784975481235,1031.0,1037.52997435397,1023.5,1038.131512147581,1070.4,1046.8572524596195,53.048223799198304,-5.107517524802461,-12.297484191953084,1059.2910603363466,1023.5,987.7089396636534,0.0,0.0,0.0,0,train,0,
1,2020-12-18,1085.0,1095.0,1060.0,1065.0,8176400.0,1047.0,1050.137119551666,1028.5,1018.4254323558206,943.75,962.8077707636676,841.7,878.866323374026,73.75407637434162,67.57454426169556,57.28370342195156,1132.0549388624738,943.75,755.4450611375262,0.0,0.0,0.0,0,train,1,
2,2022-06-13,1030.0,1050.0,1020.0,1025.0,5822200.0,1045.0,1038.0751103846292,1041.0,1037.137003233692,1024.25,1037.9671786869944,1067.6,1045.855507268108,43.7001809928487,-4.098001907903381,-8.101313686757289,1061.703304260105,1024.25,986.796695739895,0.0,0.0,0.0,0,train,1,
3,2022-12-30,1190.0,1195.0,1175.0,1185.0,1817200.0,1189.0,1188.100061830189,1190.5,1190.3524743332962,1192.5,1189.1354801330233,1174.4,1170.4150648075724,49.73309032966419,4.462029582670084,7.836238081923395,1220.6957443597437,1192.5,1164.3042556402563,0.0,0.0,0.0,0,train,0,
4,2020-06-17,760.0,775.0,740.0,750.0,2778400.0,733.0,740.1778251679717,739.0,727.8760806104518,687.5,703.7496295579674,663.5,690.9359330573961,61.79664111336264,27.258435286977942,21.711996578494123,806.9780314534852,687.5,568.0219685465148,0.0,0.0,0.0,0,train,1,
5,2019-01-29,1130.0,1140.0,1070.0,1080.0,20527900.0,1142.0,1126.237378322891,1135.5,1126.3173901718187,1110.25,1094.0676646487943,976.3,1017.0053654360552,51.42854910236786,47.82344888735474,55.54982947307693,1206.7629524986155,1110.25,1013.7370475013846,0.0,0.0,0.0,0,train,2,
6,2019-07-15,1090.0,1105.0,1090.0,1095.0,2242100.0,1100.0,1095.3491279833854,1093.5,1096.437158213135,1108.25,1091.2927045064,1059.2,1079.3090783571454,51.82838848571756,9.110382673086178,12.832928709585778,1149.9962573172734,1108.25,1066.5037426827266,0.0,0.0,0.0,0,train,2,
7,2022-02-18,965.0,985.0,965.0,985.0,18866700.0,969.0,971.6140683384692,965.0,966.393511974142,958.5,963.4901376305124,965.8,970.9252903685176,64.05347378305044,1.2780423244511212,-2.2414814107918573,976.9661853126194,958.5,940.0338146873806,0.0,0.0,0.0,0,train,2,
8,2020-11-02,760.0,760.0,745.0,750.0,2555500.0,755.0,755.3682380231908,757.0,755.7217938275725,753.0,755.1371813943049,770.6,759.2423831837955,47.10398759312571,-0.5415098329696093,-1.6019877677892989,776.7486841740758,753.0,729.2513158259242,0.0,1.0,1.0,2,train,2,
9,2021-02-22,975.0,990.0,970.0,970.0,4207900.0,980.0,977.12768405465,981.5,976.0349933080124,954.25,972.8155301414766,995.4,957.3401859571836,49.6433977950377,3.2379954918146723,1.2232119992173462,1045.259614876671,954.25,863.2403851233289,1.0,0.0,1.0,-1,train,2,
10,2022-11-09,1190.0,1210.0,1175.0,1190.0,13230700.0,1157.0,1166.1358920043033,1149.0,1150.6012424219575,1118.75,1132.2379606528343,1112.5,1111.6660737116729,75.27737610884705,19.818842711408703,12.914834697215714,1204.882165884761,1118.75,1032.617834115239,0.0,0.0,0.0,0,train,0,
11,2019-07-08,1080.0,1095.0,1065.0,1070.0,3952800.0,1087.0,1085.7761906238336,1102.0,1093.114206292801,1099.0,1086.1673243950636,1057.9,1074.798873676726,47.84335493883232,11.639391332282685,17.447238775896363,1157.957611891935,1099.0,1040.042388108065,0.0,0.0,0.0,0,train,1,
12,2022-08-05,1055.0,1095.0,1055.0,1085.0,14186500.0,1054.0,1057.9603266526062,1037.0,1042.7237480799856,1017.25,1028.123616517218,1017.3,1023.1885894286804,78.58708320375605,13.925912556976982,5.829824292612411,1070.020730523653,1017.25,964.479269476347,0.0,0.0,0.0,0,train,1,
13,2019-02-25,1255.0,1260.0,1230.0,1240.0,4903200.0,1255.0,1247.9856620626565,1236.0,1235.7246050525134,1192.75,1203.2913328029551,1093.4,1117.2656943587374,59.52393181463533,45.79755166842915,46.99257987798136,1317.98877195182,1192.75,1067.51122804818,0.0,0.0,0.0,0,train,1,
14,2023-03-29,1255.0,1265.0,1250.0,1260.0,9604100.0,1240.0,1244.406198884432,1222.5,1233.483522670774,1225.25,1227.5483150354387,1214.5,1214.511596754859,62.39631851653029,6.364886449994174,2.2470901012396247,1263.782453853862,1225.25,1186.717546146138,0.0,1.0,1.0,2,train,1,
15,2018-12-19,890.0,905.0,885.0,890.0,3497800.0,900.0,896.7968366145518,900.5,899.368812821316,891.5,895.1722354858715,881.0,893.2348858773876,49.22631613713224,5.953798628333175,7.65705761049359,967.5328876210816,891.5,815.4671123789185,0.0,1.0,1.0,2,train,1,
16,2020-08-25,810.0,815.0,795.0,815.0,7169600.0,803.0,803.3791207651674,791.5,794.8801759743427,781.25,785.6869513152126,766.5,763.9066034426925,60.78219222379838,11.386660858971254,8.491747037374434,824.7097514949177,781.25,737.7902485050823,0.0,0.0,0.0,0,train,1,
