,published_date,title,publisher,kode_emitten
52,2021-09-03,"Barito Pacific (BRPT) Beli Saham Perusahaan Kayu Rp171,85 Miliar",Bisnis,BRPT
53,2021-11-07,"Barito Pacific (BRPT) Milik Prajogo Pangestu Cetak Pendapatan US$2,31 Miliar",Bisnis,BRPT
54,2021-11-18,Barito Pacific melihat prospek bisnis petrokimia yang positif di sisa tahun ini,Kontan,BRPT
55,2021-12-08,"Harga Naphtha Naik! Margin Emiten Petrokimia Bisa Tergerus, Cek TPIA & BRPT",Bisnis,BRPT
56,2022-01-06,"Taipan Prajogo Pangestu Borong 5,4 Juta Saham Barito Pacific (BRPT)",Kontan,BRPT
57,2022-01-17,"Izin Konsesi Kawasan Hutan Dicabut, Barito Pacific (BRPT) Buka Suara",Bisnis,BRPT
58,2022-03-03,Begini Strategi dan Rencana Barito Pacific (BRPT) di Tengah Lonjakan Harga Minyak,Kontan,BRPT
59,2022-03-04,Analis Rekomendasikan Beli Saham BRPT di Tengah Kenaikan Harga Minyak Dunia,Kontan,BRPT
60,2022-03-09,"Taipan Prajogo Perbesar Kepemilikan di Star Energy, Ini Dampaknya bagi Barito Pacific",Kontan,BRPT
61,2022-03-17,"Refinancing, Barito Pacific Terbitkan Obligasi Rp 750 M",CNBC Indonesia,BRPT
62,2022-03-20,Barito Pacific (BRPT) Memperkirakan PLTP Salak Binary Rampung di Awal 2023,Kontan,BRPT
63,2022-03-31,Ini Faktor Pendorong Melonjaknya Laba Bersih Barito Pacific (BRPT) Sepanjang 2021,Kontan,BRPT
64,2022-03-31,Bos BRPT: Star Energy dan Chandra Asri (TPIA) Dorong Peningkatan Kinerja 2021,Bisnis,BRPT
65,2022-03-31,"Barito Pacific (BRPT) Cetak Laba Rp1,5 Triliun pada 2021",Bisnis,BRPT
66,2022-03-31,Ini Penyebab Laba Bersih BRPT Terbang 160%,CNBC Indonesia,BRPT
67,2022-04-01,Laba Barito Pacific (BRPT) Melesat 157% Sepanjang 2021,Kontan,BRPT
68,2022-04-06,"Melirik Portofolio Saham Prajogo Pangestu BRPT, TPIA, GZCO, Mana yang Menarik?",Bisnis,BRPT
69,2022-05-13,Simak Jadwal Pembagian dan Estimasi Yield Dividen Barito Pacific (BRPT),Kontan,BRPT
70,2022-05-18,"Pendapatan Naik 12%, Kok Laba Barito (BRPT) Malah Anjlok 79%?",CNBC Indonesia,BRPT
71,2022-05-19,"Siap-siap Bagi Dividen US$ 20 Juta, Pendapatan Barito Pacific (BRPT) Tumbuh 12%",Kontan,BRPT
72,2022-06-21,"Star Energy Dikabarkan IPO, Begini Kata Bos Barito Pacific",CNBC Indonesia,BRPT
73,2022-07-20,Historia Bisnis: Jalan Barito Pacific (BRPT) Dari Negosiasi Utang Hingga Sukses Diversifikasi,Bisnis,BRPT
74,2022-10-14,Barito Pacific Investasi di Startup 'Pemulung',CNBC Indonesia,BRPT
75,2022-10-31,"Barito Pacific (BRPT) Catat Pendapatan US$ 1,618 Miliar pada Semester I 2022",Kontan,BRPT
76,2022-11-03,Barito Pacific (BRPT) Berencana Membagikan Saham Bonus,Kontan,BRPT
77,2022-11-03,BRPT Inbreng Saham Jumbo di Star Energy ke Anak Usaha,Bisnis,BRPT
78,2022-11-21,"Grup Barito Pacific Bekerja Sama dengan Grup PLN,Dukung Transisi Energi Keberlanjutan",Kontan,BRPT
79,2022-11-25,"Catat! 5 Waran Terstruktur BRPT, TLKM, INCO, HRUM, ICBP Siap Terbit",Bisnis,BRPT
80,2022-12-06,Ini Strategi Barito Pacific (BRPT) untuk Jaga Stabilitas Kinerja,Kontan,BRPT
81,2022-12-07,"Barito Pacific (BRPT) Dirikan Barito Renewable Energy, Inbreng Saham Rp19,46 Triliun",Bisnis,BRPT
82,2022-12-14,"Barito Pacific (BRPT) Bagikan Saham Bonus, Berikut Jadwal Lengkapnya",Kontan,BRPT
83,2022-12-19,"Sosok Prajogo Pangestu Bos Barito Pacific, Lulusan SMP yang Sempat jadi Sopir Angkot",Bisnis,BRPT
84,2022-12-30,"EGCO Thailand Jual Saham Star Energy Grup Barito (BRPT) Rp7,59 Triliun",Bisnis,BRPT
85,2023-01-02,"Fokus Energi Terbarukan, BRPT Beli Saham PLTP Star Energy Geothermal dan Star Phoenix Geothermal",Bisnis,BRPT
86,2023-01-02,"Pasca Barito Pacific (BRPT) Akuisisi Tiga PLTP, Berikut Rekomendasi Analis",Kontan,BRPT
87,2023-01-02,"Fokus pada Energi Terbarukan, Barito Pacific (BRPT) Tambah Kepemilikan Aset Geoternal",Kontan,BRPT
88,2023-01-03,"Barito Pacific Borong Saham 2 Proyek Star Energy Rp7,5 Triliun, Cek Rekomendasi Saham BRPT",Bisnis,BRPT
89,2023-01-03,ProspeK Saham Barito Pacific (BRPT) Kesetrum Pembangkit Listrik,Kontan,BRPT
90,2023-02-24,"Keuangan Lagi Gak Oke, Saham BRPT Prajogo Pangestu Mahal!",CNBC Indonesia,BRPT
91,2023-03-09,Prajogo Pangestu DIam-diam Borong 5 juta Saham BRPT,CNBC Indonesia,BRPT
