,published_date,title,publisher,kode_emitten
59,2019-07-23,"Laba BNI Semester I/2019 Tumbuh 2,7 Persen",Bisnis,BBNI
60,2019-07-24,"Kurs Dolar, Euro di Bank Mandiri & BNI Hari Ini, Mana Lebih Murah?",Bisnis,BBNI
61,2019-07-29,"Sawit Sumbermas Sarana (SSMS) Gaet Pinjaman dari BNI Rp 1,13 Triliun",Kontan,BBNI
62,2019-07-30,Ini Strategi BNI Gaet Milenial untuk Menabung,CNBC Indonesia,BBNI
63,2019-08-05,"Antisipasi pemadaman listrik, BNI siapkan genset di ATM",Kontan,BBNI
64,2019-08-07,"Layani TKI, Biaya Transfer BNI Hong Kong Termurah Sedunia",CNBC Indonesia,BBNI
65,2019-08-07,BNI Akrabkan Perbankan Digital ke Pekerja Migran di Hong Kong,Bisnis,BBNI
66,2019-08-07,BNI dorong perbankan digital pada pekerja migran di Hong Kong,Kontan,BBNI
67,2019-08-07,"Biaya Lebih Murah, BNI Perkuat Remitansi dari TKI Hong Kong",CNBC Indonesia,BBNI
68,2019-08-08,BEI Jatuhkan Peringatan ke BNI Sekuritas,CNBC Indonesia,BBNI
69,2019-08-13,BNI Manado Target Akuisisi 2.000 Merchant Baru,Bisnis,BBNI
70,2019-08-17,"Bantu WNI di Jepang, Kini di BNI Osaka pun Bisa Buka Rekening",CNBC Indonesia,BBNI
71,2019-08-20,BNI bidik transaksi QR code capai 20% dari total transaksi EDC tahun depan,Kontan,BBNI
72,2019-08-22,"Dana kelolaan DPLK BNI mencapai Rp 22,9 triliun hingga Juli 2019",Kontan,BBNI
73,2019-08-22,"Susul Bank Mandiri (BMRI), Bank BNI (BBNI) Ikut Kucurkan Kredit Untuk Perakit iPhone",Kontan,BBNI
74,2019-08-23,Kejutan Bagi Nasabah di Bulan Layanan BNI Wilayah Malang,Bisnis,BBNI
75,2019-08-27,Siap-siap! Bakal Ada Direksi BNI yang Diganti Pekan Ini,CNBC Indonesia,BBNI
76,2019-08-30,"BNI gelar RUPSLB hari ini, bagaimana nasib jajaran direksinya?",Kontan,BBNI
77,2019-08-30,"Perombakan direksi bank BUMN berlanjut, Ario Bimo jadi direktur termuda di BNI",Kontan,BBNI
78,2019-08-30,"Pindah dari Bank Mandiri, Askolani Jadi Komisaris BNI",CNBC Indonesia,BBNI
79,2019-08-30,"Achmad Baiquni Tetap Dirut, Direksi BNI Dirombak",CNBC Indonesia,BBNI
80,2019-08-30,"Kenalkan Ario Bimo, Milenial yang Jadi Direktur Keuangan BNI",CNBC Indonesia,BBNI
81,2019-08-31,"Mau gunakan BNI Syariah Mobile Bank, ini cara registrasinya",Kontan,BBNI
82,2019-09-02,"Catur Digeser dari BNI ke BRI, Ini Alasannya",CNBC Indonesia,BBNI
83,2019-09-06,BNI Wilayah Palembang Incar Pertumbuhan Nasabah 12 Persen,Bisnis,BBNI
84,2019-09-12,"Ogah ke ATM, top up TapCash BNI bisa lewat BNI Mobile Banking",Kontan,BBNI
85,2019-09-13,"BNI & Shinhan Bank Berikan Kredit ke J Resources Rp 3,23 T",CNBC Indonesia,BBNI
86,2019-09-15,BNI Syariah Bidik Kemudahan Buka Rekening Masjid via Pelatihan Manajemen,Bisnis,BBNI
87,2019-09-20,"Di Indonesia Festival, BNI Ajak UMKM Tembus Pasar Korea",CNBC Indonesia,BBNI
88,2019-09-20,"BNI Bali Salurkan KUR Rp1,8 Triliun",Bisnis,BBNI
89,2019-09-24,Tugas Berat Menanti Direktur Milenial BNI,Bisnis,BBNI
90,2019-09-27,BNI Borong Dua Penghargaan di Bidang Tresuri,CNBC Indonesia,BBNI
91,2019-09-28,"Kartu Debit BNI Citilink Dirilis, Travelling Makin Mudah",CNBC Indonesia,BBNI
92,2019-10-01,"Menabung di BNI tanpa antre, setor duit lewat ATM bisa",Kontan,BBNI
93,2019-10-03,6000 Pelari Siap Bersaing di BNI ITB Ultra Marathon,CNBC Indonesia,BBNI
94,2019-10-06,"Permudah pekerja migran, BNI Tokyo beri layanan buka rekening tanpa harus ke cabang",Kontan,BBNI
95,2019-10-09,"Didukung Teknologi, BNI Ajak Petani Terapkan Smart Farming",CNBC Indonesia,BBNI
96,2019-10-09,"Hadirkan Gerakan Menyongsong Pertanian 4.0, BNI Ajak Petani Terapkan Smartfarming",Bisnis,BBNI
97,2019-10-15,"Dipangkas lagi, ini bunga deposito terbaru BCA, Bank Mandiri, BNI dan BRI",Kontan,BBNI
98,2019-10-15,"Likuiditas Bank BNI Ketat, Ini Rekomendasi Analis untuk Saham BBNI",Kontan,BBNI
99,2019-10-17,BNI Siap Kucurkan Kredit Wirausaha ke 250.000 Reseller Tiphone,Bisnis,BBNI
100,2019-10-23,"Laba bersih Bank BNI naik 4,7% jadi Rp 12 triliun di kuartal III 2019",Kontan,BBNI
101,2019-10-24,"Bank Negara Indonesia (BNI) naikkan rasio pencadangan jadi 159,2% di kuartal III-2019",Kontan,BBNI
102,2019-10-25,"Hingga Kuartal III/2019, Laba Bersih BNI Syariah Naik 50 Persen",Bisnis,BBNI
103,2019-10-28,"11 Ribu Rekening Dibuka Menggunakan BNI Sonic, Apa Tuh?",CNBC Indonesia,BBNI
104,2019-10-31,BNI Syariah dan Telkomsel Kerja Sama Pembiayaan Umrah,Bisnis,BBNI
105,2019-11-06,"Presiden Jokowi minta bank turunkan bunga kredit, BNI timbang dulu biaya dana",Kontan,BBNI
106,2019-11-08,BNI Fasilitasi Mendapatkan 'Nomor Cantik' Kendaraan Secara Online,Bisnis,BBNI
107,2019-11-12,BNI Syariah Launching Kartu Platinum di 14th The IFSB Summit,CNBC Indonesia,BBNI
108,2019-11-13,BNI fasilitasi pembayaran hak tanggungan online,Kontan,BBNI
109,2019-11-16,BBNI (BANK BNI TBK),CNBC Indonesia,BBNI
110,2019-11-18,Strategi BNI Asset Management Raih Pertumbuhan AUM 43%,CNBC Indonesia,BBNI
111,2019-11-19,Bank BNI masih menjadi jawara penyaluran kredit sindikasi,Kontan,BBNI
112,2019-11-21,"Tekuk Althaf, Christopher Lolos ke Final BNI Tennis Open 2019",CNBC Indonesia,BBNI
113,2019-11-22,Aksi Ganda Putra David & Anton di Final BNI Tennis Open 2019,CNBC Indonesia,BBNI
114,2019-11-24,BNI Syariah Kerja Sama Pembiayaan dengan Pemprov Aceh,Bisnis,BBNI
115,2019-11-27,"Parkir di Bandara Pekanbaru Berlaku Nontunai, Bank BNI Siapkan TapCash",Bisnis,BBNI
116,2019-11-27,"Ada LinkAja, BNI Batal Kerja Sama dengan Alipay-WeChat",CNBC Indonesia,BBNI
117,2019-11-28,"Layanan Digital, Nasabah BNI Life Bisa Cairkan Klaim 25 Menit",CNBC Indonesia,BBNI
118,2019-12-01,BNI Manfaatkan Cabang Luar Negeri Galang Dana Murah,Bisnis,BBNI
119,2019-12-01,"Lewat Cabang London, BNI Cari Alternatif Pendanaan",CNBC Indonesia,BBNI
120,2019-12-02,"5 Berita Populer Finansial, BNI Manfaatkan Cabang Luar Negeri Galang Dana Murah dan Bank Kecil Lebih Selektif Salurkan Kredit",Bisnis,BBNI
121,2019-12-04,Top! BNI Raih The Best Corporate Secretary and Communication,CNBC Indonesia,BBNI
122,2019-12-11,"BNI Syariah Gandeng Kuwais, Sediakan Aplikasi Pembayaran Thawaf",Bisnis,BBNI
123,2019-12-19,"Persiapan Nataru, BNI Sediakan Uang Tunai Rp 16,9 T/Minggu",CNBC Indonesia,BBNI
124,2019-12-19,Transaksi E-Channel BNI Selama Liburan Nataru Diproyeksikan Naik 25 Persen,Bisnis,BBNI
125,2020-01-03,Utang Jiwasraya ke BNI Lunas,Bisnis,BBNI
126,2020-01-03,Transaksi kartu kredit Bank BNI dan CIMB Niaga tumbuh signifikan tahun 2019,Kontan,BBNI
127,2020-01-08,BNI Syariah Tawarkan Program Umrah Bertabur Hadiah dan Fasilitas Mewah,Bisnis,BBNI
