,published_date,title,publisher,kode_emitten
54,2019-11-23,"Resmi, Pahala Mansury menjadi Direktur Utama Bank BTN",Kontan,BBTN
55,2019-11-27,"Strategi BTN 2020: Digital Banking, Shifting ke Dana Murah",CNBC Indonesia,BBTN
56,2019-11-27,"Sah! Pahala Mansury Jadi Dirut BTN, Chandra Hamzah Jadi Komut",CNBC Indonesia,BBTN
57,2019-11-27,"Ada perubahan nama jabatan di BTN, apa fungsinya?",Kontan,BBTN
58,2019-11-27,"Pengurus Dirombak, 4 Direktur BTN Diberhentikan",CNBC Indonesia,BBTN
59,2019-11-27,"Rombak manajemen, Pahala Mansury resmi nakhodai Bank BTN",Kontan,BBTN
60,2019-12-04,"BTN Siapkan Rp 400 M Suntik AMU, untuk Kelola Kredit Macet",CNBC Indonesia,BBTN
61,2019-12-08,BTN Fokus Transformasi Layanan Mulai 2020,Bisnis,BBTN
62,2019-12-10,"Sepekan Jadi Dirut, Pahala Beli Saham BTN Hampir Rp 1 M",CNBC Indonesia,BBTN
63,2019-12-23,"Bos BTN-PLN kok 'Orang Luar' Semua, Efektif Gak sih?",CNBC Indonesia,BBTN
64,2020-01-20,"Dukung Qanun Aceh, BTN konversi empat kantor syariah",Kontan,BBTN
65,2020-02-03,Dirut BTN Menjawab Dugaan Window Dressing Laporan Keuangan 2018 dan Praktik Korupsi,Bisnis,BBTN
66,2020-02-16,"Laba BTN 2019 Jatuh 92% Jadi Rp 209 M, Ada Apa?",CNBC Indonesia,BBTN
67,2020-02-16,Mengintip Strategi Bisnis Bank BTN di Tahun 2020,CNBC Indonesia,BBTN
68,2020-02-16,"Laba BTN 2019 Anjlok 92,55 Persen, Tinggal Rp209 Miliar",Bisnis,BBTN
69,2020-02-18,"Kembali ke Hakikat Bank Tabungan, BTN Targetkan Laba Rp 3 T",CNBC Indonesia,BBTN
70,2020-02-20,"Tenang, Tak Ada Agenda Ganti Direksi BTN di RUPST 12 Maret",CNBC Indonesia,BBTN
71,2020-03-04,"Remunerasi Bank BUMN 2019: BNI Naik, BTN Turun",Bisnis,BBTN
72,2020-03-05,"Isi Kantong Petinggi BRI, Mandiri, BNI, dan BTN, Siapa Paling Tebal?",Bisnis,BBTN
73,2020-03-12,"Sah! BTN Bagi Dividen 10% atau Rp 20,9 M",CNBC Indonesia,BBTN
74,2020-03-12,"Konversi Kantor, Bank BTN Bakal Tutup 93 Kantor Kas",CNBC Indonesia,BBTN
75,2020-03-16,Ari Kurniaman Ditunjuk Jadi Sekretaris Perusahaan BTN,Bisnis,BBTN
76,2020-04-06,"Dear Nasabah, BRI & BTN Mulai Relaksasi Tagihan KPR nih!",CNBC Indonesia,BBTN
77,2020-04-13,"Dampak Covid-19, Bank Mandiri & BTN Pangkas Target Kredit",CNBC Indonesia,BBTN
78,2020-05-14,Bank BTN (BBTN) sudah realisasikan buyback saham senilai Rp 50 miliar,Kontan,BBTN
79,2020-05-15,"Q1-2020, Laba Bersih Bank BTN Turun 36% Jadi Rp 457 Miliar",CNBC Indonesia,BBTN
80,2020-06-02,"Saham BTN Terbang Lebih 21%, Ternyata Ini Penyebabnya",CNBC Indonesia,BBTN
81,2020-06-02,"Sambut New Normal, Begini Strategi Bank BTN",Bisnis,BBTN
82,2020-06-04,BBTN diuntungkan adanya Tapera karena pendanaan lebih pasti daripada FLPP,Kontan,BBTN
83,2020-06-08,"Ini Raja Cuan LQ45 Pekan Lalu, BBTN & JPFA Melesat 38%",CNBC Indonesia,BBTN
84,2020-06-25,"BTN 'Dapat' Rp 5 T dari Sri Mulyani, Dipakai Buat Apa?",CNBC Indonesia,BBTN
85,2020-06-25,"BRI, Mandiri, BNI & BTN Raih Rp 30 T, Saham Mana Paling Cuan?",CNBC Indonesia,BBTN
86,2020-08-03,"Peminat Lelang Rumah Murah Online Tinggi, BTN Siapkan Hingga Ribuan Unit Properti",Bisnis,BBTN
87,2020-09-07,"Ingin ajukan KPR BTN subsidi? Ini syarat, cara, dan suku bunganya",Kontan,BBTN
