,published_date,title,publisher,kode_emitten
52,2021-05-04,Prospek Antam (ANTM) Vs Merdeka (MDKA) Jadi 'Raja' Tambang,Bisnis,MDKA
53,2021-05-04,"Jual Saham MDKA Rp 433 M, Boy Thohir Cuan Berapa Duit?",CNBC Indonesia,MDKA
54,2021-05-26,"Gandeng Tsingshan, MDKA Mulai Konstruksi Proyek AIM pada Kuartal II/2021",Bisnis,MDKA
55,2021-05-26,Merdeka Copper (MDKA) angkat Albert Saputro sebagai Presiden Direktur,Kontan,MDKA
56,2021-06-03,"Wow! Milenial Nikah Maharnya 305 Lot Saham MDKA, Berapa Duit?",CNBC Indonesia,MDKA
57,2021-06-14,"IHSG naik tipis ke 6.101 pada akhir sesi I hari ini, asing borong BBRI, MDKA, BMRI",Kontan,MDKA
58,2021-10-05,"Asing Borong 3 Bank Big Cap, Obral Saham MDKA-Bank Jago",CNBC Indonesia,MDKA
59,2021-10-06,"Segmen tembaga jadi andalan, berikut rekomendasi saham MDKA dari RHB Sekuritas",Kontan,MDKA
60,2021-10-13,"Update! Gugatan Merdeka Copper vs PSAB di Singapura, Damai?",CNBC Indonesia,MDKA
61,2021-12-20,"IHSG Bisa Melaju Hijau, Cek Saham MARI, MDKA dan BRMS",Bisnis,MDKA
62,2021-12-22,"Ambil 5 Persen Saham MDKA dan Ingin Bangun Pabrik Baterai, Ini Profil CATL",Bisnis,MDKA
63,2021-12-31,"PSAB Lunasi Utang ke BNI, Sengketa dengan MDKA Selesai?",CNBC Indonesia,MDKA
64,2021-12-31,"Merdeka Copper Gold (MDKA) Akuisisi Saham Andalan Bersama Investama Rp1,14 Triliun",Bisnis,MDKA
65,2022-01-24,"Daftar Saham Tambang Emas ANTM, MDKA, hingga UNTR, Intip Rekomendasinya!",Bisnis,MDKA
66,2022-02-07,Merdeka Copper Gold Beri Pinjaman Rp 864 Miliar Untuk MTI,CNBC Indonesia,MDKA
67,2022-02-16,"Merdeka Copper Gold (MDKA) Garap 5 Tambang Emas dan Tembaga, Ini Detailnya",Bisnis,MDKA
68,2022-03-28,"Anak Usaha MDKA Beli Aset Nikel Rp 5,36 T dari Afiliasi",CNBC Indonesia,MDKA
69,2022-03-29,"MDKA Akuisisi Tambang Nikel, Setor Modal Rp5,4 Triliun",Bisnis,MDKA
70,2022-03-29,"Akuisisi Saham Hamparan Logistik, Merdeka Copper Gold (MDKA) Rambah Bisnis Nikel",Kontan,MDKA
71,2022-04-07,"Merdeka Copper Gold (MDKA) Siap Rights Issue 1,20 Miliar Saham, Brunp Pembeli Siaga",Kontan,MDKA
72,2022-05-08,"Merdeka Copper Gold (MDKA) Berencana Gelar Private Placement 2,29 Miliar Saham",Kontan,MDKA
73,2022-05-18,"MDKA Berbalik Untung, Pendapatan Tambang Emas Sandi Naik 164%",CNBC Indonesia,MDKA
74,2022-05-20,Akuisisi Tambang Nikel Merdeka Copper (MDKA) Rampung,Bisnis,MDKA
75,2022-06-10,"Merdeka Copper Gold (MDKA) Absen Bagikan Dividen, Ini Alasannya",Kontan,MDKA
76,2022-06-10,Merdeka Copper Gold (MDKA) Siapkan Capex Jumbo Kebut 2 Proyek,Bisnis,MDKA
77,2022-06-10,"Dapat Restu Private Placement, Ini Daftar Akuisisi Merdeka Copper Gold (MDKA) Tahun Ini",Bisnis,MDKA
78,2022-06-10,"Hasil RUPS MDKA: Nihil Dividen, Aksi Buyback dan Private Placement Jalan Terus",Bisnis,MDKA
79,2022-06-10,Intip Target Operasional Merdeka Copper Gold (MDKA) Tahun Ini,Kontan,MDKA
80,2022-06-23,"Kompak Lego MDKA, Boy Thohir dan Sandiaga Cs Cuan Rp 85 M",CNBC Indonesia,MDKA
81,2022-06-28,Pesona Saham Merdeka Copper Gold (MDKA) dari Bisnis Non Emas,Kontan,MDKA
82,2022-07-15,"Indeks Bisnis-27 Ditutup Melemah, ANTM, MDKA, INCO Paling Terpuruk",Bisnis,MDKA
83,2022-07-22,"Saratoga Beli Saham Merdeka Copper Gold (MDKA) Rp 1,47 T",CNBC Indonesia,MDKA
84,2022-07-25,"Saratoga Belanja Triliunan Saham Merdeka Copper (MDKA), Cek Rekomendasinya",Bisnis,MDKA
85,2022-08-03,Merdeka Copper (MDKA) Beri Pinjaman US$ 225 Juta ke Merdeka Battery Materials,Kontan,MDKA
