datetime,symbol,open,high,low,close,volume
2017-08-02 09:00:00,IDX:INKP,2740.0,2740.0,2680.0,2680.0,3818800.0
2017-08-03 09:00:00,IDX:INKP,2690.0,2690.0,2610.0,2660.0,7046000.0
2017-08-04 09:00:00,IDX:INKP,2670.0,2670.0,2630.0,2660.0,1375300.0
2017-08-07 09:00:00,IDX:INKP,2660.0,2720.0,2660.0,2680.0,2218500.0
2017-08-08 09:00:00,IDX:INKP,2680.0,2700.0,2640.0,2680.0,5458100.0
2017-08-09 09:00:00,IDX:INKP,2680.0,2720.0,2660.0,2690.0,2167300.0
2017-08-10 09:00:00,IDX:INKP,2690.0,2730.0,2660.0,2730.0,3562300.0
2017-08-11 09:00:00,IDX:INKP,2730.0,2750.0,2630.0,2720.0,13124200.0
2017-08-14 09:00:00,IDX:INKP,2720.0,2750.0,2680.0,2740.0,3953900.0
2017-08-15 09:00:00,IDX:INKP,2740.0,2900.0,2740.0,2830.0,15673100.0
2017-08-16 09:00:00,IDX:INKP,2830.0,2860.0,2770.0,2830.0,8765500.0
2017-08-18 09:00:00,IDX:INKP,2830.0,2890.0,2810.0,2850.0,1793900.0
2017-08-21 09:00:00,IDX:INKP,2850.0,2890.0,2830.0,2860.0,1446200.0
2017-08-22 09:00:00,IDX:INKP,2880.0,2970.0,2810.0,2900.0,9153600.0
2017-08-23 09:00:00,IDX:INKP,2920.0,2950.0,2890.0,2930.0,2961900.0
2017-08-24 09:00:00,IDX:INKP,2920.0,2950.0,2810.0,2930.0,20169800.0
2017-08-25 09:00:00,IDX:INKP,2940.0,2950.0,2900.0,2930.0,3004500.0
2017-08-28 09:00:00,IDX:INKP,2950.0,2970.0,2930.0,2960.0,1994900.0
2017-08-29 09:00:00,IDX:INKP,2960.0,3050.0,2940.0,2960.0,15143800.0
2017-08-30 09:00:00,IDX:INKP,2960.0,3010.0,2920.0,3010.0,7523400.0
2017-08-31 09:00:00,IDX:INKP,3050.0,3090.0,3010.0,3080.0,6093300.0
2017-09-04 09:00:00,IDX:INKP,3100.0,3150.0,3060.0,3110.0,4925500.0
2017-09-05 09:00:00,IDX:INKP,3140.0,3150.0,3070.0,3120.0,3853300.0
2017-09-06 09:00:00,IDX:INKP,3180.0,3210.0,3110.0,3160.0,7207800.0
2017-09-07 09:00:00,IDX:INKP,3160.0,3330.0,3130.0,3260.0,18503000.0
2017-09-08 09:00:00,IDX:INKP,3240.0,3330.0,3160.0,3200.0,13405500.0
2017-09-11 09:00:00,IDX:INKP,3200.0,3230.0,3120.0,3190.0,8403100.0
2017-09-12 09:00:00,IDX:INKP,3190.0,3300.0,3180.0,3230.0,7427900.0
