,datetime,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,negative,positive,total_news,sentiment,type,ground_truth,prediction
0,2022-06-08,2430.0,2440.0,2400.0,2420.0,57669200.0,2460.0,2490.0,2459.0,2560.4,2450.3996471710284,2469.144003637204,2492.3630866569915,2488.1349208552265,42.94185543531995,-26.944309116604472,-22.984190264757544,2594.0407345951585,2459.0,2323.959265404841,0.0,3.0,3.0,2,train,0,
1,2020-12-18,1845.0,1960.0,1810.0,1950.0,1083731700.0,1733.0,1533.5,1374.0,1172.8,1755.1498866054123,1602.5607416537323,1445.9560758492223,1224.9941233410234,89.76473635545189,174.8742781459464,112.75293018152536,1839.4202402130788,1374.0,908.5797597869212,0.0,3.0,3.0,2,train,2,
2,2022-06-13,2240.0,2280.0,2200.0,2260.0,113097900.0,2358.0,2432.0,2439.0,2557.4,2343.822117680305,2396.052575996636,2445.59533650581,2468.5326556429773,33.06586059991114,-53.2615813800262,-33.14594628854061,2609.1646261712463,2439.0,2268.8353738287537,0.0,2.0,2.0,2,train,1,
3,2022-12-30,2010.0,2020.0,1985.0,1985.0,23123000.0,1999.0,2011.5,1988.0,1963.2,1999.3066491986544,1999.475024577057,1993.0464417308376,1975.8702010296736,49.57066284586286,9.747933412684006,11.052994828310018,2069.2649986156403,1988.0,1906.73500138436,1.0,3.0,4.0,2,train,1,
4,2020-06-17,620.0,645.0,605.0,635.0,195616600.0,594.0,596.5,563.75,528.94,604.6872452940062,591.437164101343,571.3391720062189,554.2682687010708,66.8527272086079,23.94137825042162,19.82638634902218,639.041101731878,563.75,488.458898268122,1.0,2.0,3.0,2,train,2,
5,2019-01-29,910.0,930.0,900.0,920.0,96595800.0,903.0,876.5,825.25,752.2,902.0140832089476,876.8134689445753,840.2138623163096,790.4137642541515,69.89505768547889,43.84491598576415,35.43168173392979,942.0607443688292,825.25,708.4392556311707,0.0,1.0,1.0,2,train,1,
6,2019-07-15,855.0,885.0,855.0,880.0,192125200.0,844.0,833.0,824.75,783.0,850.6364048114038,838.8419407944117,823.4680653576111,816.1615360142005,66.11281414015251,17.650614248530815,14.192348154882424,872.549058568135,824.75,776.950941431865,1.0,4.0,5.0,2,train,2,
7,2022-02-18,1955.0,2140.0,1955.0,2090.0,412835800.0,1937.0,1879.0,1846.0,2042.9,1958.5514868163643,1908.941009636424,1900.3350387248915,2008.414073608812,63.64850488965018,-17.57444863429282,-58.2787015943065,2005.8311609167624,1846.0,1686.1688390832376,0.0,4.0,4.0,2,train,2,
8,2020-11-02,1065.0,1125.0,1055.0,1100.0,571253300.0,1077.0,1045.0,902.5,831.1,1070.4863486412648,1026.9003666143544,950.1916134945496,850.0588359287808,74.18010890116228,88.21988894805747,68.67623372971413,1214.3252715865087,902.5,590.6747284134912,2.0,9.0,11.0,2,train,2,
9,2021-02-22,2940.0,3040.0,2910.0,2950.0,834610300.0,2846.0,2849.0,2679.5,2410.8,2867.6649675769536,2816.886560774349,2735.0888203047293,2399.747230894729,59.14728873583569,123.52306821965794,124.70074541634962,3119.021330540396,2679.5,2239.978669459604,0.0,4.0,4.0,2,train,1,
