,published_date,title,publisher,kode_emitten
55,2019-03-05,BCA Gelar Pelatihan Kepemimpinan dan Komunikasi Bagi Pengurus Desa Wisata Pentingsari,Bisnis,BBCA
56,2019-03-06,"Terkaya di RI, Berapa Keuntungan Dua Hartono Dari BCA?",CNBC Indonesia,BBCA
57,2019-03-08,"Mengulik Harta Duo Hartono di BCA, Orang Terkaya di Indonesia",CNBC Indonesia,BBCA
58,2019-03-14,Direktur BCA Suwignyo Budiman Diusulkan Jabat Wakil Presiden Direktur,Bisnis,BBCA
59,2019-04-11,BCA Bagi Dividen Rp 340/Saham dan Tunjuk Wapresdir Baru,CNBC Indonesia,BBCA
60,2019-04-11,"Gandeng WeChat, BCA Bisa Layani Turis China Pakai QR Code",CNBC Indonesia,BBCA
61,2019-04-11,BCA jadi bank terbaik di Indonesia versi Forbes,Kontan,BBCA
62,2019-04-16,Migrasi Kartu ATM Cip BCA Sudah Tembus 9 Juta Keping,Bisnis,BBCA
63,2019-04-17,Bos BCA Berharap Presiden Terpilih Menjaga Stabilitas Likuiditas,Bisnis,BBCA
64,2019-04-22,BCA Akuisisi Bank Royal Senilai Rp1 Triliun,Bisnis,BBCA
65,2019-04-23,"Konsolidasi Bank, BCA Resmi Beli Bank Royal Senilai Rp 1 T",CNBC Indonesia,BBCA
66,2019-04-23,"BCA Akuisisi dengan Harga Tinggi, Ini Nasib Bank Royal Nantinya",Bisnis,BBCA
67,2019-04-25,"BCA, BRI dan Mandiri masuk jajaran sepuluh bank terbesar di Asia Tenggara",Kontan,BBCA
68,2019-04-26,Ini Profil Bank Royal yang Akan Diakuisisi BCA,Bisnis,BBCA
69,2019-05-09,BCA perkuat kerjasama dengan Fintech untuk ciptakan ekosistem keuangan yang stabil,Kontan,BBCA
70,2019-05-17,"Penuhi Kebutuhan Lebaran, BCA Andalkan Uang Elektronik",Bisnis,BBCA
71,2019-05-21,"Direksi BCA Getol Tambah Saham, Total Transaksi Rp11,42 Miliar",Bisnis,BBCA
72,2019-05-21,"Kapitalisasi BEI Susut Rp 435 T, eh Bobot BCA Bertambah",CNBC Indonesia,BBCA
73,2019-05-23,BCA Gelar Autoshow 2019 di Padang,Bisnis,BBCA
